fight_id,event_name,fighter_1,fighter_1_result,fighter_2,fighter_2_result,bout_type,method,end_round,end_time_round,max_round,referee,fight_link
7299,UFC 49: Unfinished Business,Randy Couture,W,Vitor Belfort,L,UFC Light Heavyweight Title Bout,TKO - Doctor's Stoppage,3,300,5,John McCarthy,http://ufcstats.com/fight-details/977e56ada4acc596
7300,UFC 49: Unfinished Business,Joe Riggs,W,Joe Doerksen,L,Middleweight Bout,KO/TKO,2,219,3,Steve Mazzagatti,http://ufcstats.com/fight-details/719f21fdb310fcfb
7301,UFC 49: Unfinished Business,Chuck Liddell,W,Vernon White,L,Light Heavyweight Bout,KO/TKO,1,245,3,Mario Yamasaki,http://ufcstats.com/fight-details/ebd51f898209c4c8
7302,UFC 49: Unfinished Business,David Terrell,W,Matt Lindland,L,Middleweight Bout,KO/TKO,1,24,3,Herb Dean,http://ufcstats.com/fight-details/6e2254b4fd39ce40
7303,UFC 49: Unfinished Business,Justin Eilers,W,Mike Kyle,L,Heavyweight Bout,KO/TKO,1,74,3,John McCarthy,http://ufcstats.com/fight-details/c74eef9b337602c6
7304,UFC 49: Unfinished Business,Chris Lytle,W,Ronald Jhun,L,Welterweight Bout,Submission,2,77,3,Herb Dean,http://ufcstats.com/fight-details/5db23cc876db1619
7305,UFC 49: Unfinished Business,Karo Parisyan,W,Nick Diaz,L,Welterweight Bout,Decision - Split,3,300,3,Mario Yamasaki,http://ufcstats.com/fight-details/6996eb7755709945
7306,UFC 49: Unfinished Business,Yves Edwards,W,Josh Thomson,L,Lightweight Bout,KO/TKO,1,272,3,Steve Mazzagatti,http://ufcstats.com/fight-details/c9c5b2507c6be9e3
7307,UFC 48: Payback,Ken Shamrock,W,Kimo Leopoldo,L,Heavyweight Bout,KO/TKO,1,86,3,John McCarthy,http://ufcstats.com/fight-details/66eaf9f4a2cd67d8
7308,UFC 48: Payback,Frank Trigg,W,Dennis Hallman,L,Welterweight Bout,KO/TKO,1,255,3,Mario Yamasaki,http://ufcstats.com/fight-details/1201d192092baacf
7309,UFC 48: Payback,Frank Mir,W,Tim Sylvia,L,UFC Heavyweight Title Bout,Submission,1,50,5,Herb Dean,http://ufcstats.com/fight-details/dffef4343e822399
7310,UFC 48: Payback,Matt Hughes,W,Renato Verissimo,L,Welterweight Bout,Decision - Unanimous,3,300,3,Steve Mazzagatti,http://ufcstats.com/fight-details/5261874c58322b46
7311,UFC 48: Payback,Evan Tanner,W,Phil Baroni,L,Middleweight Bout,Decision - Unanimous,3,300,3,John McCarthy,http://ufcstats.com/fight-details/7014356795515aea
