round_id,event_name,round,fighter_name,kd,ts_landed,ts_attempted,td_landed,td_attempted,sub_attempted,rev,control,ss_landed,ss_attempted,head_ss_attempted,head_ss_landed,body_ss_attempted,body_ss_landed,leg_ss_attempted,leg_ss_landed,distance_ss_attempted,distance_ss_landed,clinch_ss_attempted,clinch_ss_landed,ground_ss_attempted,ground_ss_landed
2908,UFC Fight Night: Dern vs. Hill,4,Angela Hill,0,31,46,0,0,0,0,92,23,38,10,24,13,14,0,0,14,28,9,10,0,0
2909,UFC Fight Night: Dern vs. Hill,5,Mackenzie Dern,0,75,83,1,1,0,0,278,27,30,27,30,0,0,0,0,8,8,0,0,19,22
2910,UFC Fight Night: Dern vs. Hill,5,Angela Hill,0,4,8,0,0,0,0,0,3,6,1,4,2,2,0,0,3,6,0,0,0,0
2911,UFC Fight Night: Dern vs. Hill,1,Edmen Shahbazyan,0,27,45,1,1,1,0,23,25,42,17,34,7,7,1,1,13,27,10,13,2,2
2912,UFC Fight Night: Dern vs. Hill,1,Anthony Hernandez,0,17,30,2,8,2,0,149,15,27,13,24,1,1,1,2,7,19,6,6,2,2
2913,UFC Fight Night: Dern vs. Hill,2,Edmen Shahbazyan,0,5,9,0,0,0,0,18,4,8,4,8,0,0,0,0,3,7,1,1,0,0
2914,UFC Fight Night: Dern vs. Hill,2,Anthony Hernandez,0,39,50,3,6,2,0,234,28,39,22,33,3,3,3,3,7,13,2,2,19,24
2915,UFC Fight Night: Dern vs. Hill,3,Edmen Shahbazyan,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0
2916,UFC Fight Night: Dern vs. Hill,3,Anthony Hernandez,0,21,25,1,1,0,0,48,20,22,20,22,0,0,0,0,1,1,0,0,19,21
2917,UFC Fight Night: Dern vs. Hill,1,Emily Ducote,0,34,81,0,1,0,0,11,34,81,19,61,7,11,8,9,32,79,2,2,0,0
2918,UFC Fight Night: Dern vs. Hill,1,Loopy Godinez,0,49,81,0,1,0,0,0,49,81,39,71,4,4,6,6,46,78,3,3,0,0
2919,UFC Fight Night: Dern vs. Hill,2,Emily Ducote,0,43,102,0,2,0,0,0,43,102,28,81,8,13,7,8,40,98,3,4,0,0
2920,UFC Fight Night: Dern vs. Hill,2,Loopy Godinez,0,43,77,0,1,0,0,0,43,77,36,68,4,6,3,3,36,67,7,10,0,0
2921,UFC Fight Night: Dern vs. Hill,3,Emily Ducote,0,40,92,0,1,0,0,0,35,87,24,72,6,9,5,6,34,85,1,2,0,0
2922,UFC Fight Night: Dern vs. Hill,3,Loopy Godinez,0,41,90,1,1,0,0,13,40,88,31,75,4,8,5,5,39,87,1,1,0,0
2923,UFC Fight Night: Dern vs. Hill,1,Andre Fialho,0,8,19,0,0,0,0,7,8,19,4,15,4,4,0,0,7,18,1,1,0,0
2924,UFC Fight Night: Dern vs. Hill,1,Joaquin Buckley,0,10,36,2,3,0,0,20,10,36,6,29,2,5,2,2,10,36,0,0,0,0
2925,UFC Fight Night: Dern vs. Hill,2,Andre Fialho,0,14,32,0,0,0,0,0,14,32,10,27,3,4,1,1,14,32,0,0,0,0
2926,UFC Fight Night: Dern vs. Hill,2,Joaquin Buckley,1,17,54,0,0,0,0,3,16,53,6,37,7,13,3,3,16,53,0,0,0,0
2927,UFC Fight Night: Dern vs. Hill,1,Diego Ferreira,0,24,55,0,1,0,0,0,24,55,13,37,8,14,3,4,24,55,0,0,0,0
2928,UFC Fight Night: Dern vs. Hill,1,Michael Johnson,0,27,46,0,0,0,0,0,27,46,12,29,13,14,2,3,27,46,0,0,0,0
2929,UFC Fight Night: Dern vs. Hill,2,Diego Ferreira,1,6,16,0,1,0,0,1,6,16,4,9,2,7,0,0,5,15,0,0,1,1
2930,UFC Fight Night: Dern vs. Hill,2,Michael Johnson,0,5,12,0,0,0,0,0,5,12,1,5,4,6,0,1,5,12,0,0,0,0
